Text,Spam?
But currently the dapp is emitting 500k FAB every epoch.,N
We haven't agreed any numbers but we're thinking of cutting that quite dramatically,N
"The incentive atm from what I see, is it allows people to still take part in the ecosystem and the 3pool without the high risk of price fluctuations with fab.",N
So... My little demon in my shoulder is telling me to leverage my fab deposits to get these rewards before they drop...,N
"Well, you could mint some fUSD with your staked SOL, that's something cool to do",N
"If you're bullish on SOL, you could take some leverage in SOL with the minted fUSD",N
bought some punks but cant verify on grape.. i think its bc of the cold wallet i use?!,N
I have a ledger and punks in it but haven’t tried to verify yet.,N
I’m sure somebody will help or point you to the right direction soon,N
My little risk manager in me says don't leverage an illiquid coin,N
"GM fam, whats the plan to peg fUSD again, i mean how do we want to get people to invest in our synths if 70% of the PnL is cut in the more and more unbalanced 3Pool.",N
"whats scratching my head at is what would be the right feedback loop, my gut tells me new synths and more collateral makes it even worse. Because the profits it eg Nasdaq cant be cashed out ",N
"Are they also to list the fSynth tokens as collateral, maybe in a own isolated pool ?",N
"I think for the moment they are just interested in fUSD, but we will discuss with them further. It's still early in discussions",N
"Great ty for all your answers, just another Q - could we onboard some talented alpha caller / technical trader, so we might build up some social trading like of thing where everyone follows fQQQ and fSPY calls",N
Welcome to the club then! At these prices could be very high profits once we recover,N
Pretty sad what happened but I think that prices can recover if we all put some effort in it.,N
"And from my limited time in here, I think that's what happening right now.",N
So yeah the risk/reward at these prices is pretty good,N
We used to play games for punks and coins.,N
but will be pushing some slight changes to the dapp rewards system shortly,N
My 40 punks or so will b chilling for a long time so just keep doin what u must,N
Downside of this is less emissions > less incentive to keep liquidity in fab pools > no liquidity in the protocol > heat death,N
is it still best to keep c ratio ~15? Or anything changed?,N
"That is a risk, but with token price supressed rewards are so low anyway.",N
LP rewards remain and new collateral is being added so we believe its a fairly balanced change,N
got a couple of thousand fab in my wallet waiting to stake again,N
do i need to keep my c-ratio around 15?,N
I would currently recommend a c ratio of 4.,N
I may load up on FAB and then use that as a leverage play to buy more punks,N
All it took before was 1 day to get from .002 back to .01,N
Apparently you can bounce checks at banks then transfer to coinbase and then if you buy crypto and send to a wallet they can’t retrieve the money,N
What I actually think is happening is coinbase earns more money by having my liquidity on their app so they make up a random holding time,N
But US bank system is like 20 years behind from what I've heard,N
No it’s because people are withdrawing USDC from the 3pool,N
"But even then, you're taking over a 50% loss doing that - why?",N
"We've been scratching our heads trying to work out why users are withdrawing USDC, seemingly against their own interest",N
I have no good answer to that besides liquidity issues,N
"that trade is very much against them, but they may need the liquidity",N
"So we would need a mechanism to peg it, other than incentivized lp pools",N
And as we have seen before might depeg fusd into the other direction,N
The other question is why not add USDC to the pool.,N
"$100 USDC to the pool, you get approx $200 worth of share in the LP.",N
And currently our 3 pool has the highest rewards % on Mercurial,N
Once you have the system set up you can arb trade multiple platforms so keeping the peg is easy,N
"But since you are collateralizing only with a volatile asset, you will always be suspect to price fluctuations and therefore problems in the peg",N
DAO vote will go up later today.,N
But we are looking at adding more collateral to diversify,N
And then price fluctuations from FAB aren't such a major issue,N
Perfect. If I could Id buy more now,N
"As of next epoch reward are reduced 5 times, so supply shock may be coming soon",N
Been quite hyped tbh got some cool stuff in the works for FAB this week and beyond.,N
"I have a small amount of fab in the claimable section on the dapp, but it keeps not letting me claim it",N
I got liquidated some fab the only time I was below 2 a little while ago,N
"No, it’s at 3.68",N
Is your c ratio below 2 ser?,N
We pushed an update yesterday so you cannot claim if you are under collateralized,N
I never saw that payout yesterday,N
Hasn't been sent yet we were more focused on pushing the fix last night. Punk payouts will go out today,N
One of you guys has a stepn code for a fellow fab enjoyer?,N
There is no incentive until there is hope of a repeg,N
Any USDC put in the pool is a donation of exit liquidity to FUSD bag holders,N
I have a bunch of USDC I've been looking to park somewhere with nice return. Been hoping FUSD could recover as the merc pool had good returns,N
I know it's a bit of an unfortunate circular problem tho,N
What's the plan to make up for the imbalance in TVL versus FUSD?,N
"It’s 201.9k fUSD. The way that gets burned is liquidations of the positions with excess, but you cascade the price down by doing so",N
So it has to be done in small amounts over time,N
Are the liquidations not running? The price has steadily been moving in the opposite direction since the issue was identified,N
Liquidations have not been running for some time due to the high risk of a liq cascade. They will carefully run as we gain the liquidity required to run them.,N
"Ah, I see. Hopefully this bull trap lasts long enough to raise the alt coin tides",N
I think market may also be reacting to the fact we've just slashed FAB inflation by a factor of 5,N
"Tbf outlook is quite bullish, we have a partnership in the works with a well known defi platform, plus some updates and overhauls coming over the next 2 weeks",N
Looks like Slowlana. Seems that the RPC is behind in slots. I'm guessing network is being overloaded atm,N
"It's a safety mechanism, it won't let you put through txns if the RPC is behind",N
guys is single side staking available?,N
anyone here having problems with magic eden rn?,N
Well atm we don't want to use it because of the 1:1 relation of USDC to fUSD would even more fUSD floating around when that's an issue we're actively trying to resolve.,N
"Nah its gonna be held in USDC. We just forgot to swap it to USDC lol, I'll put through a ton request today to swap it",N
"Long term there's not really an issue, more a case of trying to balance incentives.",N
Hows treasury gonna hold up with 1 sol royalties lol,N
i am gonna stock up until 1 sol floor than just will be waiting for to see what happens to the floor simple plan simple gains,N
Yeah I'm gonna be stocking up on them 0.3 SOL is still insanely cheap imo,N
Somebody sold 1 million fab,N
"oh well, more cheap coins for me I ain't complaining",N
"I’m about to get to my goal of 100k fabs finally, felt impossible last year lol",N
Its going to be so awesome looking back in a year when we all made it and are in the next bullmarket. Knowinf we bought our punks and fab so low.,N
Always been bullish on this. Now more than ever,N
Hello Can you change telegram in coincapmarket ?,N
We'll run a list of all the wallets that failed and resend them tonight,N
Del is possible to see which accounts have the largest amount on minted fUSD and who have been delinquent the longest?,N
I just figured if we have to do liquidations might as well go after the people causing the largest majority of the issue,N
I did wonder that now we've cut off rewards whether fUSD would drop. But doesn't seem like that's happened.,N
So it's looking like the majority of the debt is probably being held by people who abandoned the protocol,N
"Although saying that, if the current price trend continues we won't have to liquidate them",N
Well I will be purchasing more in the near future,N
So don’t get the price ramped up too much,N
I'm waiting for some SOL to clear and I'm grabbing some,N
"Hi guys, where do we stake our nft?",N
"Ok thanks, how do we earn the FAB token?",N
"In order to get them initially you will need to buy them. Once you have them, you can stake either in our DAPP or LP pool to earn sweet FAB yield daily",N
but fabric was working on the utility the entire time lol,N
Biggest NFT project in the world valued at $4bn,N
i was eligible n aint even know  missed higher price but is okay,N
I used polygon multiple times too.,N
"sold dragon for .888 , gonna buy back in on public  (edited)",N
"yessir, i see at least 20-30% of BD price with these",N
These dragonz need to catch up with GoblinTown,N
Why tf they are at a 6+ eth floor though is the real question is the real question (edited),N
"expectation defying community lmao didn’t expect this either just all degen ish n what not by the looks of it, with a lot of fomo on the psych rod to 10, i don’t doubt the reach it though bc of how fomo is fr",N
true. These mfs dumping money into aimless projects while the utilitarian projects suffer.,N
Hate that I missed my entry though. I was staring at them when they were under .5,N
"Hey! Are you a reseller? If you are chances are you're only making like 25-35% profit per purchase. That sucks right?  Yes I know it sounds too good to be true, thats why payment is after the refund is complete! ",Y
"We can refund hundreds of different stores with very high limits (Apple, Amazon, StockX, Urban Outfitters...)",Y
"Well lucky for you our service is here. . Now if you're confused, this service makes it possible for you to pay on average 20% of the total order.",Y
So no need to worry! Come join now!,Y
CoinGrowBit - Professional digital asset trading platform.,Y
We and our partners decided to make a big giveaway to hеlp pеoрlе in this diffiсult timе.,Y
We give cryptocurrency from 0.01 to 0.999 BTC to random users.,Y
You have been randomly selected among usеrs of Discord Channels in the Giveaway!,Y
"Join our growing community in the TREASURY - 1,000 GUARANTEED WL SPOTS AVAILABLE NOW!",Y
"Yes I know it sounds too good to be true, thats why payment is after the refund is complete! So no need to worry! Come join now!",Y
City Of Gold is a project you DON'T want to miss out on!,Y
They pay you to own their NFTs which are mansions and estates on top of plots of land. ,Y
We are currently running a contest where every 5 invites to our server gets you a ticket into our raffle for $250 USD every week until our launch!,Y
Join the Discord with the link here!,Y
Not to mention they help you source funding and partners for your own project or business.,Y
I saw that you were interested in NFT projects - have you heard of Angrymals? Angrymals NFTs are now available on Magic Eden with floor price of 5 SOL.,Y
"They have a play to earn game that you can already download on Android and IOS platforms. The game is integrated with the Solana Blockchain, and is inspired by angrybirds!",Y
It is under Catheon Gaming - same team from SolChicks with a current floor of 10 SOL.,Y
"Hurry, VIP whitelist spots for IDO are still available! Join our discord group now.",Y
"If you're from USA, UK or Canada, you can save money with 'refunding'. You only pay our fee AFTER you get ALL of your money back! We have over 1000+ vouches!",Y
"It's a method where you can buy a laptop, for example, from Lenovo or other stores and get all of your money back while keeping the item you purchased for a small fee for our service AFTER your refund is confirmed by the company.",Y
"If this sounds interesting to you, learn how to get started and check the vouches we have on Nulled forum marketplace",Y
Nova Creed is doing things differently. Most projects launch with a big collection and a 12 to 24 month roadmap detailing when they will deliver different elements of the project. Not Nova Creed.,Y
"Gold Knighthood membership of CryptoBlades, ensuring HUGE exposure for the project on launch",Y
"Hey Man, just a quick thing! There's a new project called Sol Watches, in which Holders participate in real life luxury watch flips and earn passive income from the profits! Don't hesitate to join if that sounds interesting to you",Y
You have been WHITELISTED to our Presale VIP,Y
"For Mobile minting, Please use Metamask App built-in Browser to mint. Copy the link and paste into the browser in metamask app to mint.",Y
"Check out Cat & Mouse Game, the most exciting P2E Wolf Game Derivative on Solana. They’re launching soon and you don’t want to be late!",Y
"It's a life hack where you can buy shoes from Nike, Adidas or a gaming PC, Apple products from Amazon and get all of your money back while keeping the item you purchased.",Y
"If this sounds interesting to you, learn how to get started and the vouches we have on Nulled forum marketplace",Y
"Im pretty sure you will be interested, sorry to bother they give me a discount for each people i recommend! Have a nice day!",Y
Lets say you can buy PAYPAL BALANCE too!,Y
"Hey, did you know there is a server SELLING PAYPAL MONEY and AMAZON/APPLE items for only 30% of its price? It's legit so easy to make a lot of money, they do the process for you!",Y
You have been invited to join the Nifty DOS NFT Discord,Y
CONGRATULATIONS ON WINNING OUR RECENT RAFFLE WITH TICKET NO. #7777  You've been whitelisted to mint for the next 6 hours!,Y
We can't wait to see what you will mint. Be sure to share it on our socials after you mint. Good luck to all!,Y
"With a limited supply, minting is live. You are able to mint by clicking down below.",Y
The Donut Shop server is removing inactive members. If you want to stay on our discord please verify your wallet with Collab.Land​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,Y
You have been notified in The Donut Shop Discord Server,Y
"My little brother only needs 1 more invite for Whitelist ,please join",Y
"We can't wait to see what you mint, be sure to share it on our socials.​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​",Y
Only 137 FishyFam Nft's left!,Y
"Hurry up, These are extremely Limited. Good Luck!",Y
"Join celebrities & NFT whales & become a member of the Discord below for daily Yeezy, Off-White, Jordan, Supreme, & more hype-beast / Daily sneaker giveaways.",Y
Meta-zoo in collaboration with other big projects,Y
"Daily Giveaways, Free Mints for active users and a chance to win a Doodle and a Clone-X",Y
Hello i just found the Next SORARE !!! but in the poker world we are very early in the project all card will skyrocket you wont miss the Mint Date,Y
YOU'VE BEEN WHITELISTED TO MINT,Y
"It's a life hack where you can buy an item from Amazon, for example, and get all of your money back while keeping the item you purchased.",Y
"If this sounds interesting to you, check my vouches & website",Y
"Please note, we will sell out extremely quickly, so please purchase at your own discretion!",Y
"Which will get you your first gold in 2022？Come and JOIN us, Create wealth together!",Y
"Discord and twitter are new, they're doing multiple giveaways every day!",Y
"Cloodle-Z is a collection of unique digital collectible doodled clones launching soon.
They are made up with various DNAs, outfits, accessories, colors, eyes, back and top pieces and backgrounds. ",Y
"Join a growing server. Some of the services include: Food Refunds, Store Refunds (over 100+ stores - buy electronics and lets get it refunded for you),",Y
"Welcome to the Broke Wizard Society, a world where spellcasting doesn’t exactly count as an employable skill…",Y
"Early Wizards who join and stay in the society will be officially named as OG Wizards, unlocking lifetime privileges.",Y
"Hey bro, you online? Any chance you can help me out and join this server so I can get whitelisted. They have over 35k members and only 3444 Nfts and I just need 1 more invite.",Y
"With the recent collaboration GaryVee x YugaLabs, we decided to giveaway $10 Million worth of NFT pieces & Ethereum!",Y
This is automatically generated message from MonkeyBall. Don't answer.,Y
Holders can periodically claim HONEY TOKENS,Y
Our goal is to achieve at least 200% - 400% per pump,Y
"5$ Credit bonus after signup, must claim in discord",Y
Kindly order your instant cheap and affordable shipping labels,Y
Blockies is now air-dropping over a 100 free NFT's for more information check out our discord server as soon as possible! :,Y
"Join the RaveApes Discord for a chance to win a RaveApes NFT & $10,000 in ETH! The party is just getting started",Y
What’s a better mix of having an NFT that combines traditional Asian cultures of a monk and a badass profile picture as a Mafia?! The chance is here you will be able to get the best of BOTH WORLDS!,Y
"Community is the key, although we are a new one, the whole team and members are super chill,",Y
Exclusive access & special offers to live events at physical bars & restaurants in conjunction with the BOTY relaunch,Y
Hi Fella! I found a very interesting project that has gone under the radar. It's called Bar Gang and here are some of their features:,Y
"NANONINJAS JUST OPENED THEIR STEALTH WHITELIST FOR THE NEXT 100 ACTIVE PEOPLE, BE QUICK!!!",Y
"DO NOT MISS OUT!!! ONLY 1,444 WILL BE MINTED!!",Y
This is automatically generated message from TikTok Team. Don't answer.,Y
We are offering Refund services to our clients where we get 80% Off Your Orders,Y
We NEVER ask for payment beforehand until its done,Y
"Check out our telegram channel , we have over 500 + vouches on it and have been refunding for years . Our discord server is new , so hope you can support it.",Y
"Sites we support at the moment  : Amazon WORLDWIDE , Walmart , Apple.com , Nordstrom , Sephora , Samsclub , Gamestop , Nike & MORE",Y
Some successful refunds can be seen below ( MORE in our telegram & discord ),Y
Still waiting on mine to ship,N
Hey y’all,N
What’s good family,N
What’s the word how y’all Friday going,N
So yah someone tried to rob me two weeks ago,N
"Stole my phone. End up pressing the person who had my phone, mom paid me $900 to not press charges. (edited)",N
Get another phone after paying 200.. week later they call me and tell me they found my phone,N
Wow wow wtf,N
Straight come up,N
"Hbu
",N
Black Twitter really had that woman on video explaining the situation,N
Bruh,N
yup they tried to get me. then the laws tried to charge me unlawful carry.. i stay home now lol,N
What even is “unlawful carry” in Texas lol,N
Duplex looks amazing. If it goes on Airbnb imma get some nights.,N
Appreciate that bro. Just let me know when you planning to come down,N
Who here in VA?,N
I am,N
Born and raised,N
but I’m in southern Virginia,N
did you know they had to add a new area code to the 757? Isn’t that wild,N
I’m from VA too,N
I’m out in NOVA,N
Nope I lived in the Country lol 540….what’s the new one?,N
Oh 540 damn that is the country,N
I don’t even know the new one I think it starts with a 9?,N
We have the whole state of VA represented with the four of us,N
Relax lol,N
I never know what to do when I have weekends off,N
Wish Atl if you care,N
Who has that microcenter link,N
Real  I couldn’t find it,N
Carrying a handgun without a holster penal code 46.02,N
I used to live in NOVA as well about 2 years ago,N
Alexandria,N
I like it here alot better than New York,N
Most excited I’ve been to work,N
And most at peace that I’ve felt,N
how many times do i have to teach you to cover your information better,N
esp with your new job,N
don’t post if you’re not gonna take minor opsec for yourself into consideration,N
Is the fight lagging for anyone else?,N
Or is my internet just ass,N
Send the link and i'll check,N
Anybody got a link to the fight (boxing)?,N
It’s free on espn,N
I’m watching it on the PlayStation,N
sorry was just excited to share,N
Anyone have good label plug? I got hella shit to move back out west just finished court,N
all good to be excited just be safe,N
i use goshippo,N
That’s good to hear! That’s what’s most important,N
Law is racist as fuck “bad guys don’t use holsters”,N
"Oh word, what part?",N
shid least they give you a chance.. they really wanted to ttake me to jail lol,N
"i told him im from beaumont texas.. he kept me were that was.. i was like nigh, TEXAS mothfuka",N
Deadstock Yeezy’s for sale,N
size?,N
Good night everyone,N
Let's murk this week,N
Good morning everyone,N
Let's crush it this week,N
you holdin us down for Onyx Foams?,N
I am trash at YS,N
might throw a form up too,N
What's good y'all,N
Hope errybody been good money,N
Now you are speaking my language,N
insane lol,N
that's fire,N
she's only 25 too,N
sheesh thats dope,N
what does she do?,N
she also does creator consulting on the side,N
so I'm not surprised by this offer at all,N
I need someone to log be a job for 50k+,N
I'll work 7 days a week if it's inside,N
copy copy,N
that startup life is not for a lot of ppl,N
wasn’t for me either,N
now she's tripled her salary in 4 years,N
once she looks it in you should link me with her,N
a couple of my clients could probably use her help,N
on god,N
lmao relatable,N
that was me in the startup me and my friends started,N
"I was working FT while doing that and starting Monarch, something had to give",N
"they got funded and are doing it full time now tho, proud of them … but are still putting in a LOT of work",N
we don’t have WTB/WTS anymore or am I blind?,N
it's still there,N
good looks,N
just had to keep scrolling,N
I'd by that all day long,N
11 counts wtf was he driving a bus??,N
come up or nah?,N
not a come up. they're cheaper on ebay,N
anyone know why my laptop doesn't project any sound when i try to play a video,N
was completely fine yesterday,N
nvm,N
figured it out,N
love it,N
Good morning everyone,N
good morning brethren,N
It’s crazy every 2-3 months someone from that circle turns out to be a scammer or worse.,N
Everyone just looks bad at the end.,N
I stopped listening to any of them after it went down with B,N
everyone was claiming up and down they didn’t have one clue. Lol yeah for two years no one knew yeah aight,N
morning y'all,N
ya feel me though,N
I have a iphone 12 pro for sale,N
"There's a study by Wall Street Journal or something that basically says if you stay at a job longer than 2 years, your salary is capped by 50% over the lifetime of your career. It's true af. I'm in tech and see it happen on the regular. (not an attempt to diminish her success fwiw. I'm proud of everybody getting to the bag). Take these companies for their bread then dip out and go live happily.",N
who else?,N
I was planning on buying Friday tickets for an upcoming festival but they announced Lil Wayne is replacing Migos and the ticket prices went up $130 I'm sick!!!!!,N
lil wayne is so bad live now,N
sheesh,N
Its that bad?,N
Anyone going to SITW?,N
Anyone who bought those tickets must not know how bad he is live now,N
yeah in like an hr,N
bless u ser,N
hope amex work tomorrow,N
Lettuce pray,N
didn’t know the hashtag after my name cause I filled out form on my phone but I’m good for it,N
yerrrr,N
how are you,N
not too shabby how was your day duke,N
Nah bro can’t run it without the hashtag. Got you next time,N
Actually really good I powered through some work and met up with friends,N
Went to the NY Liberty game and it was super fun,N
"stopped by my parents crib today and forgot I had 4 of the Bugatti Chiron Sets, you got any in storage",N
Nick kicks charging $27 for shipping is crazy,N
Yal going for anytbing today ?,N
sold out,N
Is that even a shopify site? Wtf?,N
Off white? Site is hot garbage,N
Snkrs just turned me up,N
Bricks… only cause I didn’t hit,N
I wanted them to chill with my ducks with,N
YS at checkout,N
Hoping for the w,N
I can’t get through queue on there so imma wait on the confirmed L,N
how much ps5's going for these days?,N
F5 YS too many times they kicked me out,N
18 pairs so far,N
Need size 10,N
help need good freshwater tackle set that’s kinda portable,N
undefeated only site that dropped or what,N
Looks like,N
andddd sold out,N
They restock on and off,N
I almost got through,N
same like twice,N
gonna keep this OOS 12 in my cart for now,N
I'm on the 9 chilling. That's how I hit them poo ass Rebellionaires,N
I’ll buy size 12,N
I might I’m tryna see if I can get free tickets from the family,N
not selling any,N
taking to sneakercon in atlanta to sell for the moon,N
I’m not a fresh water guy but I know some setups. What you fishing for ?,N
I went to the 1st one I wanted to go to this but they announced it soo late and plane tickets was sky high lol,N
Catfish love smelly food. I like to take chicken liver and leave it out for a day to spoil. Catfish can’t get enough,N
chicken liver always works,N
throw some fruit punch koolaid on there too (edited),N
Free food on Uber eats,N
If you can get it to work. Can’t seem to get mine to show,N
just copped 6 lol,N
Free food Uber ?,N
I haven’t gotten my app to work,N
I’m trying to see if it will work for me I’m hungry,N
Ate a protons cookie that’s it,N
I like the top waters too when fishing for bass or crappie,N
That’s dennys ?,N
I went to this fishermans retreat and we were tryna catch something with some thin see thru wire,N
that shit felt impossible,N
had my drag wrong it just kept snapping,N
I keep it 15 pound braid salt or fish but also depending the fishes 15 braid holds up to all the fish I caught using that kind of Line. I haven’t fished in months n I’m going crazy,N
Went to Cali to fish but the wind was blowing 40 mph and could go,N
I think it was a 5 pound test to,N
I went deep sea fishing outta santa barbara that was dope,N
"tryna get a summer trip here crackin outta san diego, hit the mexico waters for a whole weekend",N
Who sellin a size 10 foams?,N
Is sneaker con an event you pay to get into? So people really paying to pay resell?,N
More so for exposure and shit,N
Yeezy let me hit confirmed for the first time ever lol,N
Mine at 99%,N
Sneakercon on average has any where from 50-60k people attend,N
On average I do 30k+ in sales for a single day show,N
So easy 60k+ weekend,N
That’s how we meet my celebrity clients tbh,N
They all show up to these events for publicity and to spend money,N
Sneakercon also got 3.4 million followers on IG so it’s publicity for you as well.,N
I’ll cover that in the first hour of the doors opening,N
I try my best to find things to add to the group,N
Probably trout since there’s a lot out here i wanna get another setup for bass too,N
You talmbout confirmed?,N
What’s the deal with ihop? Shows me a price in cart,N
I placed one for a later time too im at work,N
How everyone hit on Confirmed mane,N
"Anyone w Moe’s app, it’s BOGO free burrito Day",N
Anybody got the YZY ONYX US 9 this 10 might not fit. Just saw a review,N
Had the stone sage in 9 hopefully it fits similar. People saying size differentiates,N
"I have the ochre in a 12, fits perfect, got some 13's now (same size I wear in 350) worried wtf ima do with all 6 of these",N
nope everything else declined after site went down,N
had all 13's checkout in like a minute then the rest all declines/cart empties,N
If you need to sell the 10 I want em,N
The Surfing NFT Utility You've Been Waiting For,Y
$50 ETH Giveaway EVERY WEEK,Y
"$28,000 Worth Of Giveaways Each Month: YOU GUYS VOTE On The Prizes",Y
Luxury Surf/Vacation Giveaways 4x Per Month!!,Y
A Really High Performance Surf Gear Giveaways!,Y
YOU Choose When And Where You Want To Take Your Trip,Y
"Active, Fast Growing & Passionate Community Of Surfers",Y
"RAD Surf Shots, Video Clips, & Stories From Our Amazing Community",Y
"Surfing Education, News, Tips, & Tricks",Y
Share Your Favorite Surf Spots Or Vacation Ideas,Y
"Monthly rewards for holders include but are not limited to: world class surf trips to top-tier waves in paradise, major surf equipment giveaways from the leading brands, excursions to watch the world’s best surfers compete on the world tour!.",Y
"The sky is the limit, it's up to you, the holders, to vote on what you want.",Y
We are a community-driven NFT collection that aims to be the world’s most valued and utilized surfing-related NFT to ever exist on the Ethereum blockchain.,Y
"An epic 4,200-piece collection of digital Kooks will be the gateway to the world’s most functional surfing NFT with REAL WORLD value.",Y
All of our holders can participate in the Kook community by voting on monthly benefits for real-world application of surf-related giveaways!!,Y
Join & Claim Your Giveaway!,Y
YOU'VE BEEN WHITELISTED TO MINT（You only have two hours for Mint）,Y
You've been Whitelisted to mint The Memeland,Y
At reduced whitelist price of 0.15 ETH per NFT,Y
Mint only at our Official Website below (click to open),Y
Note: The address above is only available for selected members of this drop.,Y
- Whiteliste Mint is now live for selected memebers,Y
- Eligible participants: Members that received this message,Y
"- Mint Price: 0.15 ETH per NFT
- Allocation: up to 5 NFTs per wallet address
- You will be able to see your NFT at the OpenSea page.",Y
™ NOTIFICATION FOR WHITELISTED USER,Y
get access to MEMELAND's discord check your assets here,Y
Congratulations CLAIM NOW YOUR NFT FOR FREE,Y
YOU'VE BEEN WHITELISTED TO MINT,Y
You've been Whitelisted to mint DEFI FRENS NFTs ,Y
At reduced whitelist price of 0.083 ETH per NFT,Y
Quantum Access Pass NFT Exclusive Limited Sale is LIVE!,Y
(all other links are FAKE),Y
Time window: You ONLY have one hour to mint and FEW Quantum Access Pass NFT will be sold!,Y
Mint Price: 0.15 ETH(VIP Club Price),Y
Max Allocations: 10 NFTs per wallet due to high demand,Y
we've seen people become victims of fakes!,Y
NOTE : This is our only link!,Y
Quantum Access Pass Team wishes you good luck and thank you for participating!,Y
You've been Whitelisted to mint lonelypop NFTs,Y
At reduced whitelist price of 0.095 ETH per NFT,Y
Note: The address above is only available for selected members of this drop.,Y
The Nifty Portal NFT Exclusive Limited Sale is LIVE!,Y
The Nifty Portal Team wishes you good luck and thank you for participating!,Y
Time window: You ONLY have one hour to mint and FEW The Nifty Portal NFT will be sold!,Y
